"","Reservoir","TGG.W..TGG.W.","TTT.F..ACT.T.","K.Bias","AGC.Bias","GTA.Bias","TGG.W..AAC.N.","GCT.Bias","CAG.Q..AGC.S.","AGA.Bias","acg","GAG.E..AAA.K.","CGA.R..CCC.P.","ApC","AAT.N..ATA.I.","AAC.N..AAG.K.","tga","GpG","aca","agc","C.Bias","GCA.Bias","cag","AAT.N..GGT.G.","GCT.A..CAG.Q.","AGA.R..GAA.E.","bird","camelid","carnivore","human","rodent","swine","yangochiroptera","yinpterochiroptera"
"11","swine",0,-0.693397285384594,0.0634445723053318,0.108138238573021,0.183724832214765,0.542859112253167,0.536756126021004,-9999,0.471428571428571,0.0456531487808356,0.418857993321966,-9999,1.16244215023888,0.141632193657495,0.254356854566225,0.174196092834138,0.891637870770463,0.163484180829696,0.0800842945093987,0.031837360951285,0.323220536756126,0.0923264796573323,0.31579296906086,-0.307778147117678,-9999,0,0,0,0,0,1,0,0
"12","swine",0,-0.508904347500281,0.0604567845947156,0.107936507936508,0.176543209876543,0.454531553533671,0.513416815742397,-9999,0.476666666666667,0.0439293924047219,0.228045521914417,-9999,1.18311158071313,0.0980522544960304,0.247271048392464,0.175974466650494,0.887413578458766,0.157734777406429,0.0816932560508864,0.0317957904164801,0.32737030411449,0.0914553432519358,0.282290742588531,-0.769816848248268,-9999,0,0,0,0,0,1,0,0
"13","swine",0,-0.37258123874904,0.060504745470233,0.109204368174727,0.193548387096774,0.285932290727993,0.532883642495784,-9999,0.463722397476341,0.0422560326068898,0.232375145010158,-9999,1.18647422145841,0.00507820977324188,0.502603327536586,0.17300116879056,0.897038101180148,0.167035611246058,0.0820264162369037,0.0314926660914582,0.33389544688027,0.0917204472467196,0.32604625985849,-0.158681602713132,-9999,0,0,0,0,0,1,0,0
"14","swine",0,-0.593745284992447,0.0630366018978762,0.116100766703176,0.18633034987795,0.37934117351835,0.538638985005767,-9999,0.47877358490566,0.0422897282811958,0.447817918547876,-9999,1.16683589489006,0.0507851670420698,0.466601752583397,0.173636649060439,0.887146925567283,0.166920045156955,0.082091825487027,0.0313300195812622,0.33679354094579,0.0910472973583391,0.338935639055854,0.0738447409343701,-9999,0,0,0,0,0,1,0,0
"15","camelid",0,0.174219325425526,0.0579609630436937,0.10655737704918,0.165027322404372,0.596803858552308,0.524332810047096,0.478432126757469,0.291545189504373,0.031032201156023,0.444046025974106,-9999,1.05220227639897,-0.239465374331146,-0.9939999743369,0.149176224128596,0.912839057456344,0.106617776828908,0.0824569916431468,0.0342811849796889,0.28414442700157,0.0957565064242995,-0.00707884195787002,-0.750367784330878,-0.854849450151164,0,0.748528618090388,0.251471381909612,0,0,0,0,0
"16","bird",0,0.199998998173272,0.0633343682086309,0.0694935217903416,0.221957040572792,-9999,0.429696287964004,-9999,0.31322505800464,0.0395040930311601,0.557763769232743,-9999,1.12768949440269,-0.112707403409799,-0.554289013339294,0.146397521233123,0.907582233131196,0.137102440519908,0.0885614634620124,0.0327538031667184,0.38132733408324,0.105602444769572,0.19315513420336,-0.182646578013478,0.253010030890262,1,0,0,0,0,0,0,0
"17","bird",0.206922865367278,-0.0727166675814636,0.0516592139326901,0.0675909878682842,0.205755395683453,-0.349430079520228,0.448220064724919,0.0814673416906959,0.298305084745763,0.0395791433742743,0.279944217683075,-9999,1.20061810231064,-0.831902253776301,0.174387702539416,0.146852269899032,0.990280226989549,0.180426301864795,0.0949899440982584,0.0265944928218404,0.375404530744337,0.124196622312378,0.226855914974219,0.655146236513494,0.161158010903544,1,0,0,0,0,0,0,0
"18","bird",0,-0.225411037332058,0.0502175702693167,0.0500927643784787,0.182960893854749,0.632900511503915,0.517017828200972,-9999,0.297385620915033,0.03298852389593,0.443873819240632,-9999,1.16520131417419,0.186554057424234,0.14194309095465,0.156019494163538,0.981437577504949,0.156830687374093,0.0830121052135287,0.0272844878278255,0.307941653160454,0.109511083425013,0.193320995363511,-0.334591534206297,-0.453572178813611,1,0,0,0,0,0,0,0
"19","bird",0,-0.0170872000069454,0.047345599437478,0.0948121645796064,0.216255442670537,-9999,0.386039886039886,0.673762001592801,0.225396825396825,0.0499211189442535,-1.35509420243468,-9999,1.16595911871711,0.0022277449021364,0.382906160396038,0.137353587151703,0.94877030056988,0.17909553971526,0.116482610869925,0.0271885620532052,0.333333333333333,0.143558471992232,-0.284077788026504,0.117016885523138,0.30337917883015,1,0,0,0,0,0,0,0
"20","yinpterochiroptera",0,-0.566755569031096,0.0566348842210911,0.0890052356020942,0.196236559139785,-0.0165597160390184,0.516765285996055,0.95985127773039,0.361003861003861,0.041604905757591,-0.475675571775813,2.71380549089286,1.17042695284954,-9999,0.402023277483613,0.164136426982691,0.91286280469518,0.194071664052177,0.0854930075628546,0.0313284106387555,0.285996055226824,0.111115540986737,0.0850755072003897,-0.575898755115728,0.243614385643038,0,0,0,0,0,0,0,1
